matchId,season,over,ball,runs_so_far,wickets_fallen,wickets_in_hand,balls_bowled,balls_remaining,overs_completed,overs_remaining,target,required_runs,current_run_rate,required_run_rate,run_rate_diff,resources_remaining,match_phase,match_phase_enc,venue,venue_chase_win_rate,venue_matches,batting_team,bowling_team,batting_team_enc,bowling_team_enc,toss_won_by_batting_team,target_win,ball_runs,ball_wicket,is_boundary,runs_last_6,runs_last_12,wickets_last_12,boundaries_last_6,rr_acceleration,pressure_index_a,pressure_index_b,phase_x_rrr,phase_x_wkts
335982,2007/08,0,1,1,0,10,1,119,0.1666666666666666,19.83333333333333,223,222,6.0,11.19327731092437,-5.193277310924371,0.9916666666666668,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,1.0,0.0,0,1.0,1.0,0.0,0.0,-5.0,1.8655462184873952,1.865546218487395,0.0,0
335982,2007/08,0,2,2,0,10,1,119,0.1666666666666666,19.83333333333333,223,221,12.0,11.142857142857144,0.8571428571428559,0.9916666666666668,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,1.0,0.0,0,2.0,2.0,0.0,0.0,-10.0,0.9285714285714288,1.8571428571428568,0.0,0
335982,2007/08,0,3,2,0,10,2,118,0.3333333333333333,19.666666666666668,223,221,6.0,11.23728813559322,-5.23728813559322,0.9833333333333332,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,0.0,0.0,0,2.0,2.0,0.0,0.0,-4.0,1.8728813559322035,1.8728813559322035,0.0,0
335982,2007/08,0,4,3,0,10,3,117,0.5,19.5,223,220,6.0,11.282051282051285,-5.282051282051283,0.975,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,1.0,0.0,0,3.0,3.0,0.0,0.0,-3.0,1.8803418803418808,1.8803418803418803,0.0,0
335982,2007/08,0,5,4,0,10,4,116,0.6666666666666666,19.33333333333333,223,219,6.0,11.327586206896552,-5.327586206896552,0.9666666666666668,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,1.0,0.0,0,4.0,4.0,0.0,0.0,-2.0,1.887931034482759,1.887931034482759,0.0,0
335982,2007/08,0,6,4,0,10,5,115,0.8333333333333334,19.166666666666668,223,219,4.8,11.426086956521738,-6.626086956521738,0.9583333333333334,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,0.0,0.0,0,4.0,4.0,0.0,0.0,-0.7999999999999998,2.380434782608696,1.9043478260869569,0.0,0
335982,2007/08,0,7,4,0,10,6,114,1.0,19.0,223,219,4.0,11.526315789473683,-7.526315789473685,0.95,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,0.0,0.0,0,3.0,4.0,0.0,0.0,-1.0,2.881578947368421,1.9210526315789476,0.0,0
335982,2007/08,1,1,4,1,9,7,113,1.1666666666666667,18.83333333333333,223,219,3.4285714285714284,11.628318584070795,-8.199747155499368,0.8475,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,0.0,1.0,0,2.0,4.0,1.0,0.0,-1.4285714285714284,3.391592920353982,2.1318584070796462,0.0,0
335982,2007/08,1,2,4,1,9,8,112,1.3333333333333333,18.666666666666668,223,219,3.0,11.732142857142856,-8.732142857142856,0.8400000000000001,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,0.0,0.0,0,2.0,4.0,1.0,0.0,-1.0,3.910714285714285,2.1508928571428574,0.0,0
335982,2007/08,1,3,8,1,9,9,111,1.5,18.5,223,215,5.333333333333333,11.62162162162162,-6.288288288288288,0.8325,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,4.0,0.0,1,5.0,8.0,1.0,1.0,-0.333333333333333,2.179054054054054,2.130630630630631,0.0,0
335982,2007/08,1,4,9,1,9,10,110,1.6666666666666667,18.33333333333333,223,214,5.4,11.672727272727274,-6.272727272727274,0.825,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,1.0,0.0,0,5.0,9.0,1.0,1.0,-0.4000000000000003,2.1616161616161618,2.14,0.0,0
335982,2007/08,1,5,9,1,9,11,109,1.8333333333333333,18.166666666666668,223,214,4.909090909090909,11.779816513761467,-6.870725604670558,0.8175,powerplay,0,M Chinnaswamy Stadium,0.475,59,Royal Challengers Bangalore,Kolkata Knight Riders,16,8,1,0,0.0,0.0,0,5.0,9.0,1.0,1.0,0.0909090909090908,2.399592252803262,2.159633027522936,0.0,0
